Date/Time,Lat,Lon,Base
7/29/2014 19:34:00,40.714,-74.0144,B02682
7/11/2014 10:24:00,40.7264,-73.9553,B02617
7/11/2014 18:44:00,40.7394,-73.9912,B02617
7/30/2014 10:29:00,40.774,-73.8715,B02617
7/10/2014 15:57:00,40.7153,-74.0021,B02682
7/4/2014 13:56:00,40.7373,-73.9854,B02682
7/23/2014 19:32:00,40.7375,-74.0038,B02512
7/25/2014 8:57:00,40.6874,-73.9594,B02617
7/31/2014 16:34:00,40.7287,-74.0051,B02598
7/11/2014 10:07:00,40.7405,-73.9902,B02598
7/22/2014 22:10:00,40.6774,-74.3017,B02617
7/22/2014 19:25:00,40.7569,-73.977,B02512
7/3/2014 9:12:00,40.6813,-73.9606,B02682
7/20/2014 9:10:00,40.793,-73.9748,B02764
7/12/2014 10:08:00,40.7304,-73.9833,B02598
7/24/2014 19:12:00,40.7346,-74.0007,B02617
7/28/2014 9:49:00,40.7051,-73.9204,B02617
7/20/2014 3:10:00,40.7629,-73.9829,B02598
7/14/2014 8:40:00,40.778,-73.9886,B02598
7/24/2014 18:34:00,40.7113,-74.0082,B02617
7/8/2014 10:41:00,40.7511,-73.9783,B02617
7/31/2014 11:22:00,40.7274,-74.0018,B02598
7/10/2014 9:40:00,40.7209,-74.0056,B02598
7/22/2014 7:28:00,40.6685,-73.9906,B02617
7/31/2014 18:48:00,40.7652,-73.9636,B02598
7/1/2014 18:21:00,40.7647,-73.9642,B02598
7/13/2014 0:25:00,40.7215,-73.9964,B02617
7/25/2014 21:52:00,40.7784,-73.9521,B02598
7/24/2014 21:25:00,40.7264,-73.9894,B02617
7/25/2014 17:57:00,40.7876,-73.726,B02682
7/5/2014 16:57:00,40.8185,-73.9433,B02682
7/21/2014 6:00:00,40.7344,-74.0095,B02598
7/6/2014 16:25:00,40.6445,-73.7866,B02512
7/26/2014 17:38:00,40.7133,-73.9917,B02682
7/16/2014 16:31:00,40.7511,-73.977,B02617
7/16/2014 2:11:00,40.6099,-73.9681,B02617
7/27/2014 19:05:00,40.7504,-73.9914,B02512
7/2/2014 17:25:00,40.7754,-73.9903,B02598
7/9/2014 18:39:00,40.7633,-73.9765,B02617
7/27/2014 12:57:00,40.689,-73.9902,B02598
7/19/2014 0:21:00,40.7135,-73.9619,B02598
7/8/2014 11:48:00,40.7317,-74.0043,B02617
7/29/2014 20:24:00,40.733000000000004,-74.0075,B02682
7/3/2014 18:14:00,40.7452,-73.9912,B02682
7/23/2014 9:42:00,40.763000000000005,-73.9833,B02617
7/15/2014 12:33:00,40.7913,-73.9739,B02598
7/15/2014 12:31:00,40.7169,-73.9892,B02617
7/29/2014 6:50:00,40.739000000000004,-73.9909,B02512
7/17/2014 15:38:00,40.6102,-73.9227,B02617
7/18/2014 3:41:00,40.688,-73.9617,B02682
7/23/2014 9:47:00,40.7711,-73.9306,B02682
7/11/2014 15:00:00,40.7548,-73.972,B02682
7/5/2014 21:23:00,40.7717,-73.9831,B02617
7/23/2014 21:23:00,40.7635,-73.9657,B02682
7/21/2014 11:58:00,40.7545,-73.9696,B02617
7/10/2014 11:12:00,40.7608,-73.9588,B02617
7/16/2014 6:31:00,40.7645,-73.9628,B02617
7/9/2014 13:05:00,40.7742,-73.4109,B02617
7/22/2014 6:19:00,40.7351,-73.9899,B02598
7/26/2014 9:44:00,40.7684,-73.8626,B02617
7/7/2014 22:09:00,40.7498,-73.9831,B02598
7/14/2014 8:42:00,40.7439,-73.9715,B02617
7/3/2014 17:53:00,40.7298,-73.9906,B02598
7/15/2014 20:17:00,40.7461,-73.9718,B02617
7/2/2014 15:53:00,40.7252,-74.0078,B02682
7/16/2014 8:43:00,41.0132,-73.8786,B02682
7/17/2014 18:18:00,40.7557,-73.9851,B02617
7/27/2014 12:01:00,40.7101,-74.001,B02682
7/14/2014 20:52:00,40.762,-73.9858,B02512
7/11/2014 4:16:00,40.7558,-73.992,B02598
7/9/2014 6:15:00,40.788000000000004,-73.9757,B02617
7/21/2014 16:04:00,40.7447,-73.9873,B02617
7/15/2014 15:22:00,40.7586,-73.9729,B02617
7/19/2014 1:29:00,40.7501,-73.9918,B02598
7/28/2014 17:57:00,40.7607,-73.9754,B02598
7/24/2014 15:28:00,40.7626,-73.9746,B02682
7/25/2014 14:05:00,40.777,-73.9639,B02617
7/24/2014 19:44:00,40.763000000000005,-73.9818,B02682
7/15/2014 8:18:00,40.7776,-73.9886,B02682
7/16/2014 19:50:00,40.726,-73.9918,B02617
7/12/2014 0:55:00,40.7626,-73.9948,B02598
7/23/2014 17:59:00,40.7497,-74.0047,B02682
7/26/2014 10:40:00,40.7784,-73.9775,B02682
7/22/2014 22:14:00,40.7741,-73.96300000000001,B02617
7/23/2014 6:26:00,40.7847,-73.9774,B02617
7/29/2014 14:48:00,40.7395,-73.9897,B02617
7/11/2014 17:41:00,40.711999999999996,-73.9628,B02682
7/16/2014 4:45:00,40.7078,-74.0073,B02617
7/5/2014 18:56:00,40.7772,-73.9519,B02598
7/17/2014 16:32:00,40.7546,-73.9835,B02682
7/26/2014 15:21:00,40.7051,-74.0176,B02617
7/9/2014 14:34:00,40.7609,-73.979,B02617
7/29/2014 11:18:00,40.7524,-73.9724,B02617
7/22/2014 3:54:00,40.6705,-73.9872,B02512
7/23/2014 17:59:00,40.7624,-73.9739,B02617
7/18/2014 18:37:00,40.734,-74.0006,B02617
7/26/2014 15:51:00,40.7234,-73.9957,B02682
7/1/2014 6:46:00,40.7822,-73.9809,B02617
7/24/2014 16:49:00,40.74,-73.9741,B02617
7/12/2014 21:30:00,40.6735,-74.0001,B02682
7/19/2014 15:36:00,40.7773,-73.9764,B02598
7/4/2014 23:31:00,40.6614,-73.9522,B02617
7/17/2014 21:48:00,40.728,-74.0058,B02617
7/24/2014 20:58:00,40.9621,-73.85600000000001,B02598
7/17/2014 18:13:00,40.759,-73.9783,B02598
7/20/2014 12:04:00,40.6936,-73.855,B02617
7/6/2014 19:03:00,40.7739,-73.8722,B02617
7/9/2014 16:01:00,40.7554,-73.9838,B02617
7/23/2014 11:07:00,40.6198,-73.7321,B02617
7/26/2014 21:06:00,40.7406,-74.0078,B02512
7/17/2014 16:53:00,40.6449,-73.782,B02682
7/17/2014 21:26:00,40.7713,-73.9823,B02598
7/22/2014 14:13:00,40.7155,-74.0112,B02617
7/30/2014 12:32:00,40.7283,-73.9956,B02598
7/12/2014 12:22:00,40.7388,-74.0088,B02617
7/8/2014 19:22:00,40.7242,-74.0013,B02598
7/26/2014 17:26:00,40.7555,-73.9898,B02598
7/17/2014 21:07:00,40.6869,-73.9778,B02617
7/19/2014 21:52:00,40.7301,-74.0038,B02598
7/28/2014 12:50:00,40.7202,-73.9873,B02617
7/11/2014 13:37:00,40.7628,-73.982,B02598
7/19/2014 22:08:00,40.736,-73.9875,B02598
7/28/2014 22:29:00,40.7553,-73.9841,B02617
7/9/2014 11:04:00,40.7302,-73.9978,B02512
7/30/2014 21:38:00,40.7529,-73.9696,B02598
7/4/2014 18:36:00,40.7179,-74.0071,B02617
7/2/2014 21:18:00,40.7106,-73.9664,B02682
7/19/2014 0:27:00,40.7457,-73.9942,B02617
7/29/2014 14:27:00,40.7382,-74.007,B02598
7/27/2014 16:34:00,40.7442,-74.0052,B02682
7/19/2014 11:39:00,40.7487,-74.0362,B02617
7/17/2014 10:20:00,40.7457,-73.9976,B02617
7/18/2014 15:33:00,40.7541,-73.9981,B02682
7/5/2014 20:59:00,40.751999999999995,-73.9706,B02617
7/29/2014 18:49:00,40.6645,-73.9927,B02617
7/25/2014 21:09:00,40.7672,-73.9808,B02598
7/15/2014 22:03:00,40.7444,-73.9929,B02617
7/24/2014 20:56:00,40.7033,-74.0948,B02512
