Country Name,Region,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,Asia,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.6,..,..,..,..,..,..,..,..,..,10.9,..
Afghanistan,Asia,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.6,..,..,..,..,..,..,..,..,..,10.9,..
Afghanistan,Asia,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.6,..,..,..,..,..,..,..,..,..,10.9,..
Afghanistan,Asia,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.6,..,..,..,..,..,..,..,..,..,10.9,..
Afghanistan,Asia,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.6,..,..,..,..,..,..,..,..,..,10.9,..
Afghanistan,Asia,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.6,..,..,..,..,..,..,..,..,..,10.9,..
Afghanistan,Asia,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,..,..,..,..,..,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,7,8.26,11,13.5,16.8,17.6,18.4,..,..
Afghanistan,Asia,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,..,..,..,..,..,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,7,8.26,11,13.5,16.8,17.6,18.4,..,..
Afghanistan,Asia,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,..,..,..,..,..,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,7,8.26,11,13.5,16.8,17.6,18.4,..,..
Afghanistan,Asia,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,..,..,..,..,..,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,7,8.26,11,13.5,16.8,17.6,18.4,..,..
Afghanistan,Asia,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,..,..,..,..,..,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,7,8.26,11,13.5,16.8,17.6,18.4,..,..
Afghanistan,Asia,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,..,..,..,..,..,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,7,8.26,11,13.5,16.8,17.6,18.4,..,..
Afghanistan,Asia,"Population, total",SP.POP.TOTL,8622466,8790140,8969047,9157465,9355514,9565147,9783147,10010030,10247780,10494489,10752971,11015857,11286753,11575305,11869879,12157386,12425267,12687301,12938862,12986369,12486631,11155195,10088289,9951449,10243686,10512221,10448442,10322758,10383460,10673168,10694796,10745167,12057433,14003760,15455555,16418912,17106595,17788819,18493132,19262847,19542982,19688632,21000256,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771
Afghanistan,Asia,"Population, total",SP.POP.TOTL,8622466,8790140,8969047,9157465,9355514,9565147,9783147,10010030,10247780,10494489,10752971,11015857,11286753,11575305,11869879,12157386,12425267,12687301,12938862,12986369,12486631,11155195,10088289,9951449,10243686,10512221,10448442,10322758,10383460,10673168,10694796,10745167,12057433,14003760,15455555,16418912,17106595,17788819,18493132,19262847,19542982,19688632,21000256,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771
Afghanistan,Asia,"Population, total",SP.POP.TOTL,8622466,8790140,8969047,9157465,9355514,9565147,9783147,10010030,10247780,10494489,10752971,11015857,11286753,11575305,11869879,12157386,12425267,12687301,12938862,12986369,12486631,11155195,10088289,9951449,10243686,10512221,10448442,10322758,10383460,10673168,10694796,10745167,12057433,14003760,15455555,16418912,17106595,17788819,18493132,19262847,19542982,19688632,21000256,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771
Afghanistan,Asia,"Population, total",SP.POP.TOTL,8622466,8790140,8969047,9157465,9355514,9565147,9783147,10010030,10247780,10494489,10752971,11015857,11286753,11575305,11869879,12157386,12425267,12687301,12938862,12986369,12486631,11155195,10088289,9951449,10243686,10512221,10448442,10322758,10383460,10673168,10694796,10745167,12057433,14003760,15455555,16418912,17106595,17788819,18493132,19262847,19542982,19688632,21000256,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771
Afghanistan,Asia,"Population, total",SP.POP.TOTL,8622466,8790140,8969047,9157465,9355514,9565147,9783147,10010030,10247780,10494489,10752971,11015857,11286753,11575305,11869879,12157386,12425267,12687301,12938862,12986369,12486631,11155195,10088289,9951449,10243686,10512221,10448442,10322758,10383460,10673168,10694796,10745167,12057433,14003760,15455555,16418912,17106595,17788819,18493132,19262847,19542982,19688632,21000256,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771
Afghanistan,Asia,"Population, total",SP.POP.TOTL,8622466,8790140,8969047,9157465,9355514,9565147,9783147,10010030,10247780,10494489,10752971,11015857,11286753,11575305,11869879,12157386,12425267,12687301,12938862,12986369,12486631,11155195,10088289,9951449,10243686,10512221,10448442,10322758,10383460,10673168,10694796,10745167,12057433,14003760,15455555,16418912,17106595,17788819,18493132,19262847,19542982,19688632,21000256,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771
Afghanistan,Asia,Rural population,SP.RUR.TOTL,7898093,8026804,8163985,8308019,8458694,8617815,8782038,8951970,9128927,9311235,9501003,9691641,9886067,10092624,10300800,10498997,10676535,10845486,11001526,10981014,10489394,9307672,8358450,8185365,8362433,8515214,8395637,8225793,8203141,8422410,8429959,8460100,9482568,11000794,12127356,12868486,13392069,13909967,14444061,15027717,15228282,15323859,16325389,17583264,18254002,18869118,19614729,19916271,20264376,20942092,21498290,22244569,23105778,23853670,24672275,25381619,25970228,26643455,27333488,28042342,28829317,29547690,30181937
Afghanistan,Asia,Rural population,SP.RUR.TOTL,7898093,8026804,8163985,8308019,8458694,8617815,8782038,8951970,9128927,9311235,9501003,9691641,9886067,10092624,10300800,10498997,10676535,10845486,11001526,10981014,10489394,9307672,8358450,8185365,8362433,8515214,8395637,8225793,8203141,8422410,8429959,8460100,9482568,11000794,12127356,12868486,13392069,13909967,14444061,15027717,15228282,15323859,16325389,17583264,18254002,18869118,19614729,19916271,20264376,20942092,21498290,22244569,23105778,23853670,24672275,25381619,25970228,26643455,27333488,28042342,28829317,29547690,30181937
Afghanistan,Asia,Rural population,SP.RUR.TOTL,7898093,8026804,8163985,8308019,8458694,8617815,8782038,8951970,9128927,9311235,9501003,9691641,9886067,10092624,10300800,10498997,10676535,10845486,11001526,10981014,10489394,9307672,8358450,8185365,8362433,8515214,8395637,8225793,8203141,8422410,8429959,8460100,9482568,11000794,12127356,12868486,13392069,13909967,14444061,15027717,15228282,15323859,16325389,17583264,18254002,18869118,19614729,19916271,20264376,20942092,21498290,22244569,23105778,23853670,24672275,25381619,25970228,26643455,27333488,28042342,28829317,29547690,30181937
Afghanistan,Asia,Rural population,SP.RUR.TOTL,7898093,8026804,8163985,8308019,8458694,8617815,8782038,8951970,9128927,9311235,9501003,9691641,9886067,10092624,10300800,10498997,10676535,10845486,11001526,10981014,10489394,9307672,8358450,8185365,8362433,8515214,8395637,8225793,8203141,8422410,8429959,8460100,9482568,11000794,12127356,12868486,13392069,13909967,14444061,15027717,15228282,15323859,16325389,17583264,18254002,18869118,19614729,19916271,20264376,20942092,21498290,22244569,23105778,23853670,24672275,25381619,25970228,26643455,27333488,28042342,28829317,29547690,30181937
Afghanistan,Asia,Rural population,SP.RUR.TOTL,7898093,8026804,8163985,8308019,8458694,8617815,8782038,8951970,9128927,9311235,9501003,9691641,9886067,10092624,10300800,10498997,10676535,10845486,11001526,10981014,10489394,9307672,8358450,8185365,8362433,8515214,8395637,8225793,8203141,8422410,8429959,8460100,9482568,11000794,12127356,12868486,13392069,13909967,14444061,15027717,15228282,15323859,16325389,17583264,18254002,18869118,19614729,19916271,20264376,20942092,21498290,22244569,23105778,23853670,24672275,25381619,25970228,26643455,27333488,28042342,28829317,29547690,30181937
Afghanistan,Asia,Rural population,SP.RUR.TOTL,7898093,8026804,8163985,8308019,8458694,8617815,8782038,8951970,9128927,9311235,9501003,9691641,9886067,10092624,10300800,10498997,10676535,10845486,11001526,10981014,10489394,9307672,8358450,8185365,8362433,8515214,8395637,8225793,8203141,8422410,8429959,8460100,9482568,11000794,12127356,12868486,13392069,13909967,14444061,15027717,15228282,15323859,16325389,17583264,18254002,18869118,19614729,19916271,20264376,20942092,21498290,22244569,23105778,23853670,24672275,25381619,25970228,26643455,27333488,28042342,28829317,29547690,30181937
Afghanistan,Asia,Urban population,SP.URB.TOTL,724373,763336,805062,849446,896820,947332,1001109,1058060,1118853,1183254,1251968,1324216,1400686,1482681,1569079,1658389,1748732,1841815,1937336,2005355,1997237,1847523,1729839,1766084,1881253,1997007,2052805,2096965,2180319,2250758,2264837,2285067,2574865,3002966,3328199,3550426,3714526,3878852,4049071,4235130,4314700,4364773,4674867,5061866,5299549,5542073,5828215,5987030,6162823,6443215,6691382,7004588,7360701,7687539,8043935,8371880,8665979,8999963,9353296,9727157,10142913,10551772,10946834
